epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.7927006071322673,0.6535135135135135,1.6608423534244177,0.39711934156378603,0.3468936678614098,0.21341713374677784,0.8655089466578985,7.33830719999969
2,0.6414511413187594,0.7221621621621621,0.8749550374937646,0.5823045267489712,0.5683109558583942,0.5464171920547759,0.8728787585268462,7.2917070999974385
3,0.581824586262574,0.7616216216216216,0.9043363574355718,0.6337448559670782,0.6146625170107144,0.5601816902880276,0.8756060735629653,7.211890700040385
4,0.5382104374589147,0.7778378378378379,0.7939176358313227,0.6584362139917695,0.6297573297810489,0.5892748875985127,0.9190714707350395,7.218003900023177
5,0.4542207759135478,0.8227027027027027,0.590732230693715,0.7613168724279835,0.7641150595135415,0.7575606444386324,0.9513020278581998,7.2927000999916345
6,0.425236234664917,0.8324324324324325,0.49532274601390824,0.8024691358024691,0.8150376312141018,0.802024877612054,0.9629456981478874,7.248905300046317
7,0.3970760828739888,0.841081081081081,0.46587112533702774,0.7777777777777778,0.7684261974584556,0.7590914781337391,0.9586654960713462,7.329067399958149
8,0.38816376879408554,0.8443243243243244,0.46856396047421445,0.7983539094650206,0.7907135076252724,0.7840715172328877,0.9523993904184301,7.211947800009511
9,0.336016056795378,0.8697297297297297,0.36069428233943357,0.8621399176954733,0.8741041023773471,0.86245262538365,0.9695163698179159,7.250652899965644
10,0.33066205369459617,0.8783783783783784,0.5311824808303466,0.7695473251028807,0.7822588631412161,0.7695238445567903,0.9651309455085446,7.299669899977744
11,0.2968539727700723,0.8870270270270271,0.35888649081742324,0.8641975308641975,0.8748615184099054,0.8635667643285269,0.9768649231154635,7.2614451999543235
12,0.2945227267935469,0.8881081081081081,0.6213519499625688,0.7654320987654321,0.7459813185619636,0.7265935537965479,0.9727445371316747,7.22522929997649
13,0.27458256305875006,0.8972972972972973,0.27387824397028226,0.8950617283950617,0.9035248915467132,0.8958349168639081,0.9830527857294764,7.23646349995397
14,0.25690254404738144,0.9054054054054054,0.3026772483938025,0.8868312757201646,0.8891859774212715,0.8875226142017186,0.9850875875996795,7.261468400014564
15,0.2682151149414681,0.9037837837837838,0.21790440349912446,0.9135802469135802,0.9125296289907295,0.9130009003992279,0.9894751132536609,7.29672850004863
16,0.24798519236010474,0.9059459459459459,1.235864349355377,0.6111111111111112,0.6045504060209942,0.57585918079712,0.9587831551986863,7.241740299970843
17,0.24460724953058605,0.907027027027027,0.32178335713506234,0.8641975308641975,0.8637230144583086,0.8624193863591948,0.9843137064504234,7.312223499990068
18,0.22504932679034567,0.9113513513513514,0.27390756534696115,0.8930041152263375,0.9021498188718303,0.8931113589711551,0.9865250840330132,7.240344600053504
