epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_macro_roc_auc,epoch_seconds
1,0.8087253067374888,0.6198895027624309,0.7676240563904267,0.6545064377682404,0.5352799543973387,0.517205725716364,0.892256666247146,7.336771899950691
2,0.6699266946118181,0.7116022099447514,0.5837579574196123,0.7446351931330472,0.7489794702944605,0.7164057367787641,0.9104215776051957,7.076195500092581
3,0.6118722408515972,0.7441988950276243,0.5483043169514815,0.7811158798283262,0.7639892119077397,0.7467075422237497,0.92330645956322,7.167730599991046
4,0.5483937712993411,0.7596685082872928,0.5013711136553932,0.7746781115879828,0.6621200132724163,0.6695384204209383,0.9252737930309464,7.138728799996898
5,0.5145762869666295,0.7911602209944751,0.6592667306185792,0.7575107296137339,0.5976475492823536,0.5560577757344115,0.9148636496902237,7.170618899981491
6,0.4656776829483759,0.8149171270718232,0.7612739839778949,0.7381974248927039,0.5923139096624893,0.5686408659691385,0.9012320939496585,6.995563199976459
7,0.46634303120618364,0.8116022099447514,0.5674421198889933,0.7639484978540773,0.7933680458068523,0.7420587819567469,0.938897848299833,6.964055499993265
8,0.4431829968210083,0.8132596685082873,0.4875242228224042,0.7875536480686696,0.6266205535278252,0.5943511379564362,0.947121340400161,7.099353199941106
9,0.41321383698210534,0.8226519337016575,0.389984477711082,0.8433476394849786,0.789031539004739,0.7982996089832577,0.9649576035509462,7.225215199985541
10,0.3569582354956569,0.8651933701657458,0.3424660449631736,0.8605150214592274,0.8610199341483958,0.8351329985701953,0.9657723707834407,7.169967900030315
11,0.3729203169352442,0.8502762430939227,0.3434547510781513,0.8605150214592274,0.8698690625079761,0.8317068775740154,0.9703086327804994,7.149128899909556
12,0.3167116815213999,0.874585635359116,0.6048910138497026,0.778969957081545,0.6283059802445188,0.607477801730798,0.9411407849564902,7.154863100033253
13,0.329427540763307,0.874585635359116,0.5719187029441539,0.8090128755364807,0.7129261424062211,0.7361584117607567,0.9536427458341427,7.127635399927385
14,0.3166100540213822,0.8718232044198895,0.38829624601699764,0.8412017167381974,0.8477730416804921,0.8132480466633166,0.9675206459745094,7.152593499980867
15,0.2867739081053444,0.8806629834254144,0.28790309040331535,0.8733905579399142,0.8761190093332312,0.8468593392692064,0.9802156392063329,7.1413916000165045
16,0.2860105595700649,0.894475138121547,0.2500220345325224,0.8969957081545065,0.8446038268800463,0.8608677238347848,0.9823370253991017,7.183288800064474
17,0.25836192748164605,0.8966850828729281,0.4195307846872592,0.8433476394849786,0.7950160375030841,0.814429367512708,0.9767586585322662,7.172497799969278
18,0.26079924600559046,0.8906077348066298,0.2452258814302125,0.9012875536480687,0.869471740813531,0.8728281774997103,0.978569613890274,7.060070700012147
19,0.26077514167319343,0.9038674033149171,0.29260679484692764,0.8927038626609443,0.826145809404698,0.8494218556988011,0.9783858461592527,7.070961199933663
20,0.26202562304820803,0.8983425414364641,0.2923743005985866,0.8841201716738197,0.902708083412032,0.8635186705107377,0.9825549838660476,7.095933499978855
21,0.2502555198103025,0.9082872928176795,0.3344587200828888,0.851931330472103,0.8141487361426615,0.815867789935767,0.9797424347671595,7.026124500087462
22,0.24644748282037388,0.9038674033149171,0.23143590654170565,0.8991416309012875,0.8709495733258463,0.866873136558176,0.9807366116465199,7.094975499901921
23,0.21402847962814142,0.9204419889502763,0.26401138286478015,0.8991416309012875,0.8613347286386416,0.8692973552522378,0.9806582894688723,7.0687260000268
24,0.20620427648665496,0.9226519337016574,0.27228195037964587,0.8905579399141631,0.8790448965006764,0.868510833025327,0.9828899278257502,7.0507985999574885
25,0.2136128343929902,0.9154696132596685,0.34499560910488913,0.8841201716738197,0.8919872040293694,0.8611810595472357,0.9813537911341869,7.0202312000328675
26,0.1896406250763993,0.9314917127071823,0.2716990692836788,0.9012875536480687,0.8387835319941805,0.8617315101948071,0.9824785999813055,7.212626499938779
27,0.19767891160361675,0.9281767955801105,0.30766581069246385,0.8648068669527897,0.8648995635416933,0.8367305035963756,0.9783713261134964,7.110686599975452
28,0.17046942714169538,0.9353591160220994,0.16877347467539136,0.9420600858369099,0.9049814101091571,0.918054887782913,0.9901092052253456,7.038347400026396
